gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,arenaId,attendance,gameType,tournamentRound
22400350,2024-12-08 18:00:00,Atlanta,Hawks,1610612737,Denver,Nuggets,1610612743,111,141,1610612743,650.0,16137.0,,
22400349,2024-12-08 17:00:00,Indiana,Pacers,1610612754,Charlotte,Hornets,1610612766,109,113,1610612766,1000063.0,17274.0,,
22400348,2024-12-08 15:30:00,Brooklyn,Nets,1610612751,Milwaukee,Bucks,1610612749,113,118,1610612749,461.0,17926.0,,
22400347,2024-12-08 13:00:00,Chicago,Bulls,1610612741,Philadelphia,76ers,1610612755,100,108,1610612755,66.0,18837.0,,
22400346,2024-12-07 20:00:00,Miami,Heat,1610612748,Phoenix,Suns,1610612756,121,111,1610612748,1000100.0,19600.0,,
22400345,2024-12-07 20:00:00,Boston,Celtics,1610612738,Memphis,Grizzlies,1610612763,121,127,1610612763,17.0,19156.0,,
22400344,2024-12-07 19:30:00,Toronto,Raptors,1610612761,Dallas,Mavericks,1610612742,118,125,1610612742,643.0,19625.0,,
22400343,2024-12-07 19:30:00,New York,Knicks,1610612752,Detroit,Pistons,1610612765,111,120,1610612765,30.0,19812.0,,
22400342,2024-12-07 19:00:00,New Orleans,Pelicans,1610612740,Oklahoma City,Thunder,1610612760,109,119,1610612760,160.0,15718.0,,
22400341,2024-12-07 19:00:00,Washington,Wizards,1610612764,Denver,Nuggets,1610612743,122,113,1610612764,77.0,16182.0,,
